file,k,dist,tight,seed,opt,method,eps,cost,ratio,evaluated,pruned,ms_min,ms_mean,feasible
instances/k08_uniform_tight_s3.txt,8,uniform,tight,3,69.5106,dp,0.000000,69.510580,1.000000,529,0,0.013395,0.018379,1
instances/k08_uniform_tight_s3.txt,8,uniform,tight,3,69.5106,dp_par,0.000000,69.510580,1.000000,529,0,0.030768,0.045943,1
instances/k08_uniform_tight_s3.txt,8,uniform,tight,3,69.5106,dp_prune,0.000000,69.510580,1.000000,24,41,0.012484,0.015126,1
instances/k08_uniform_tight_s3.txt,8,uniform,tight,3,69.5106,approx,0.000000,69.510580,1.000000,24,41,0.018234,0.020579,1
instances/k08_uniform_tight_s3.txt,8,uniform,tight,3,69.5106,approx,0.020000,69.510580,1.000000,24,41,0.017824,0.017922,1
instances/k08_uniform_tight_s3.txt,8,uniform,tight,3,69.5106,approx,0.050000,69.510580,1.000000,24,41,0.017754,0.017854,1
instances/k08_uniform_tight_s3.txt,8,uniform,tight,3,69.5106,approx,0.100000,69.510580,1.000000,24,41,0.017764,0.021587,1
instances/k08_uniform_tight_s3.txt,8,uniform,tight,3,69.5106,approx,0.200000,69.510580,1.000000,20,42,0.017763,0.017850,1
instances/k08_uniform_tight_s4.txt,8,uniform,tight,4,97.3137,brute,0.000000,97.313703,1.000000,40320,0,0.363474,0.424460,1
instances/k08_uniform_tight_s4.txt,8,uniform,tight,4,97.3137,dp,0.000000,97.313703,1.000000,630,0,0.013225,0.018240,1
instances/k08_uniform_tight_s4.txt,8,uniform,tight,4,97.3137,dp_par,0.000000,97.313703,1.000000,630,0,0.029115,0.039304,1
instances/k08_uniform_tight_s4.txt,8,uniform,tight,4,97.3137,dp_prune,0.000000,97.313703,1.000000,12,31,0.010670,0.018926,1
instances/k08_uniform_tight_s4.txt,8,uniform,tight,4,97.3137,approx,0.000000,97.313703,1.000000,12,31,0.013064,0.014978,1
instances/k08_uniform_tight_s4.txt,8,uniform,tight,4,97.3137,approx,0.020000,97.313703,1.000000,12,31,0.012744,0.016066,1
instances/k08_uniform_tight_s4.txt,8,uniform,tight,4,97.3137,approx,0.050000,97.313703,1.000000,12,31,0.012904,0.012948,1
instances/k08_uniform_tight_s4.txt,8,uniform,tight,4,97.3137,approx,0.100000,97.319725,1.000062,7,32,0.012243,0.012319,1
instances/k08_uniform_tight_s4.txt,8,uniform,tight,4,97.3137,approx,0.200000,97.319725,1.000062,6,31,0.012193,0.012253,1
instances/k08_clustered_loose_s0.txt,8,clustered,loose,0,30.0216,brute,0.000000,30.021566,0.999999,40320,0,0.655576,0.686826,1
instances/k08_clustered_loose_s0.txt,8,clustered,loose,0,30.0216,dp,0.000000,30.021566,0.999999,1024,0,0.017734,0.030475,1
instances/k08_clustered_loose_s0.txt,8,clustered,loose,0,30.0216,dp_par,0.000000,30.021566,0.999999,1024,0,0.027282,0.031125,1
instances/k08_clustered_loose_s0.txt,8,clustered,loose,0,30.0216,dp_prune,0.000000,30.021566,0.999999,746,256,0.050666,0.072881,1
instances/k08_clustered_loose_s0.txt,8,clustered,loose,0,30.0216,approx,0.000000,30.021566,0.999999,440,413,0.048250,0.075063,1
instances/k08_clustered_loose_s0.txt,8,clustered,loose,0,30.0216,approx,0.020000,30.021566,0.999999,243,322,0.031530,0.035715,1
