
AMDuProfPcm Report

Processor Name:,AMD Ryzen 7 7735H with Radeon Graphics
System:,Family(0x19) Model(0x44) Stepping(0x1)
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,8
Number of Threads :,16
SMT Enabled in HW:,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15

Core P0 state frequency (MHz):,3200.000000
Multiplex interval (ms):,100
Sample interval (ms):,1000
Data Collection Driver:,MSR Driver
Version:,5.2.431.0 (Public)

Hypervisor Info:
Hypervisor Enabled:,True
Hypervisor Supported:,True
Hypervisor Vendor:,Microsoft Hyper-V
Root/Host Partition:,1
Command:,"AMDuProfPcm -m cache_miss,l2 -s -o cache_result.csv -- .\BX_lab01_1.exe"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
pto    : Per Thousand Operations

Warnings:
L1 cache misses does not count the misses for which cache lines have already been requested due to an earlier miss.

Profile Time: 2026/03/31 11:15:32:025
,CORE METRICS,,,,,,,,,,,,,,,,
,System (Aggregated),,,,,,,,,,,,,,,,
Timestamp,L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L1 DC Miss (pti),L2 Data Read Miss (pti),L1 IC Miss (pti),L2 Code Read Miss (pti),
00:00:46:388,157.92,77.30,49.78,65.64,123.06,49.34,19.45,54.27,70.05,27.07,31.69,11.37,66.96,26.03,42.84,42.86,
00:00:47:439,145.32,92.34,40.81,36.79,92.99,48.66,16.13,28.20,69.00,35.47,25.07,8.59,56.56,43.80,64.24,41.63,
00:00:48:461,161.35,96.06,40.94,13.19,67.26,43.48,14.59,9.18,68.66,47.27,18.14,4.00,31.78,47.31,90.98,36.23,
00:00:49:512,86.58,91.31,38.53,10.84,69.38,46.61,14.94,7.83,80.92,55.78,21.92,3.00,21.40,28.35,58.18,25.65,
00:00:50:540,174.40,99.63,33.80,25.69,85.14,50.68,16.53,17.93,82.75,54.93,19.43,7.75,29.65,22.62,102.94,44.60,
00:00:51:559,137.88,103.26,33.80,33.29,84.00,44.80,14.42,24.78,83.83,56.00,19.15,8.51,34.07,30.65,95.83,43.84,
00:00:52:603,158.05,83.79,45.66,42.42,99.02,48.92,17.96,32.14,94.81,62.34,21.35,10.28,42.14,22.14,116.47,50.63,
00:00:53:644,141.43,120.18,38.21,12.50,84.67,58.45,17.53,8.69,80.39,56.66,18.64,3.81,43.01,21.32,124.41,59.34,
00:00:54:706,103.52,142.50,39.27,9.75,104.99,78.30,20.19,6.50,66.72,47.13,15.94,3.25,41.56,25.88,110.90,48.13,
00:00:55:816,175.24,98.69,38.04,16.83,73.40,45.89,16.03,11.47,74.00,46.82,21.49,5.36,25.48,38.35,47.34,18.01,
00:00:56:913,145.45,124.96,35.77,12.35,85.38,59.55,17.29,8.54,71.90,45.62,22.79,3.81,30.60,28.70,110.87,46.45,
00:00:58:001,143.13,73.99,57.99,21.22,88.80,52.84,19.73,16.22,85.90,60.74,19.68,5.00,37.42,51.69,133.29,62.47,
00:00:59:072,121.28,68.36,59.19,15.80,82.28,50.37,20.53,11.38,88.76,63.24,20.19,4.42,45.94,22.27,141.54,71.91,
00:01:00:101,178.35,125.01,41.81,29.55,114.02,71.69,20.73,21.60,81.91,52.78,20.58,7.94,41.79,19.93,148.17,76.27,
00:01:01:138,179.14,104.19,52.60,30.46,115.61,73.62,20.19,21.80,42.97,21.49,11.74,8.67,33.21,26.12,136.79,72.23,
00:01:02:166,154.42,109.40,37.89,24.70,94.01,58.83,16.51,18.67,72.31,48.46,16.26,6.03,49.99,32.70,201.96,110.76,
00:01:03:202,211.31,101.77,33.95,16.98,83.69,54.94,16.31,12.43,96.65,69.61,21.85,4.55,38.67,28.64,99.48,45.25,
